SIGLO,AÑO,CALIDADES,GENERO,TOTAL
XVII,1601,CASTIZA,F,0
XVII,1601,CASTIZA,M,0
XVII,1601,ESPAÑOLA,F,0
XVII,1601,ESPAÑOLA,M,0
XVII,1601,INDIA,F,0
XVII,1601,INDIA,M,0
XVII,1601,MESTIZA,F,0
XVII,1601,MESTIZA,M,0
XVII,1601,MORISCA,F,0
XVII,1601,MORISCA,M,0
XVII,1601,MULATA,F,0
XVII,1601,MULATA,M,0
XVII,1601,NEGRA,F,0
XVII,1601,NEGRA,M,0
XVII,1601,SIN_CATEGORÍA,F,0
XVII,1601,SIN_CATEGORÍA,M,0
XVII,1602,CASTIZA,F,0
XVII,1602,CASTIZA,M,0
XVII,1602,ESPAÑOLA,F,0
XVII,1602,ESPAÑOLA,M,0
XVII,1602,INDIA,F,0
XVII,1602,INDIA,M,0
XVII,1602,MESTIZA,F,0
XVII,1602,MESTIZA,M,0
XVII,1602,MORISCA,F,0
XVII,1602,MORISCA,M,0
XVII,1602,MULATA,F,0
XVII,1602,MULATA,M,0
XVII,1602,NEGRA,F,0
XVII,1602,NEGRA,M,0
XVII,1602,SIN_CATEGORÍA,F,0
XVII,1602,SIN_CATEGORÍA,M,0
XVII,1603,CASTIZA,F,0
XVII,1603,CASTIZA,M,0
XVII,1603,ESPAÑOLA,F,0
XVII,1603,ESPAÑOLA,M,0
XVII,1603,INDIA,F,0
XVII,1603,INDIA,M,0
XVII,1603,MESTIZA,F,0
XVII,1603,MESTIZA,M,0
XVII,1603,MORISCA,F,0
XVII,1603,MORISCA,M,0
XVII,1603,MULATA,F,0
XVII,1603,MULATA,M,0
XVII,1603,NEGRA,F,0
XVII,1603,NEGRA,M,0
XVII,1603,SIN_CATEGORÍA,F,0
XVII,1603,SIN_CATEGORÍA,M,0
XVII,1604,CASTIZA,F,0
XVII,1604,CASTIZA,M,0
XVII,1604,ESPAÑOLA,F,0
XVII,1604,ESPAÑOLA,M,0
XVII,1604,INDIA,F,0
XVII,1604,INDIA,M,0
XVII,1604,MESTIZA,F,0
XVII,1604,MESTIZA,M,0
XVII,1604,MORISCA,F,0
XVII,1604,MORISCA,M,0
XVII,1604,MULATA,F,0
XVII,1604,MULATA,M,0
XVII,1604,NEGRA,F,0
XVII,1604,NEGRA,M,0
XVII,1604,SIN_CATEGORÍA,F,0
XVII,1604,SIN_CATEGORÍA,M,0
XVII,1605,CASTIZA,F,0
XVII,1605,CASTIZA,M,0
XVII,1605,ESPAÑOLA,F,0
XVII,1605,ESPAÑOLA,M,0
XVII,1605,INDIA,F,0
XVII,1605,INDIA,M,0
XVII,1605,MESTIZA,F,0
XVII,1605,MESTIZA,M,0
XVII,1605,MORISCA,F,0
XVII,1605,MORISCA,M,0
