SIGLO,AÑO,ETNIA_M,ETNIA_F,MATRIMONIOS
XVII,1601,CASTIZO,CASTIZA,0
XVII,1601,CASTIZO,ESPAÑOLA,0
XVII,1601,CASTIZO,FEMENINA SIN CATEG.,0
XVII,1601,CASTIZO,INDIA,0
XVII,1601,CASTIZO,MESTIZA,0
XVII,1601,CASTIZO,MORISCA,0
XVII,1601,CASTIZO,MULATA,0
XVII,1601,CASTIZO,NEGRA,0
XVII,1601,ESPAÑOL,CASTIZA,0
XVII,1601,ESPAÑOL,ESPAÑOLA,0
XVII,1601,ESPAÑOL,FEMENINA SIN CATEG.,0
XVII,1601,ESPAÑOL,INDIA,0
XVII,1601,ESPAÑOL,MESTIZA,0
XVII,1601,ESPAÑOL,MORISCA,0
XVII,1601,ESPAÑOL,MULATA,0
XVII,1601,ESPAÑOL,NEGRA,0
XVII,1601,INDIO,CASTIZA,0
XVII,1601,INDIO,ESPAÑOLA,0
XVII,1601,INDIO,FEMENINA SIN CATEG.,0
XVII,1601,INDIO,INDIA,0
XVII,1601,INDIO,MESTIZA,0
XVII,1601,INDIO,MORISCA,0
XVII,1601,INDIO,MULATA,0
XVII,1601,INDIO,NEGRA,0
XVII,1601,MASCULINO SIN CATEG.,CASTIZA,0
XVII,1601,MASCULINO SIN CATEG.,ESPAÑOLA,0
XVII,1601,MASCULINO SIN CATEG.,FEMENINA SIN CATEG.,0
XVII,1601,MASCULINO SIN CATEG.,INDIA,0
XVII,1601,MASCULINO SIN CATEG.,MESTIZA,0
XVII,1601,MASCULINO SIN CATEG.,MORISCA,0
XVII,1601,MASCULINO SIN CATEG.,MULATA,0
XVII,1601,MASCULINO SIN CATEG.,NEGRA,0
XVII,1601,MESTIZO,CASTIZA,0
XVII,1601,MESTIZO,ESPAÑOLA,0
XVII,1601,MESTIZO,FEMENINA SIN CATEG.,0
XVII,1601,MESTIZO,INDIA,0
XVII,1601,MESTIZO,MESTIZA,0
XVII,1601,MESTIZO,MORISCA,0
XVII,1601,MESTIZO,MULATA,0
XVII,1601,MESTIZO,NEGRA,0
XVII,1601,MORISCO,CASTIZA,0
XVII,1601,MORISCO,ESPAÑOLA,0
XVII,1601,MORISCO,FEMENINA SIN CATEG.,0
XVII,1601,MORISCO,INDIA,0
XVII,1601,MORISCO,MESTIZA,0
XVII,1601,MORISCO,MORISCA,0
XVII,1601,MORISCO,MULATA,0
XVII,1601,MORISCO,NEGRA,0
XVII,1601,MULATO,CASTIZA,0
XVII,1601,MULATO,ESPAÑOLA,0
XVII,1601,MULATO,FEMENINA SIN CATEG.,0
XVII,1601,MULATO,INDIA,0
XVII,1601,MULATO,MESTIZA,0
XVII,1601,MULATO,MORISCA,0
XVII,1601,MULATO,MULATA,0
XVII,1601,MULATO,NEGRA,0
XVII,1601,NEGRO,CASTIZA,0
XVII,1601,NEGRO,ESPAÑOLA,0
XVII,1601,NEGRO,FEMENINA SIN CATEG.,0
XVII,1601,NEGRO,INDIA,0
XVII,1601,NEGRO,MESTIZA,0
XVII,1601,NEGRO,MORISCA,0
XVII,1601,NEGRO,MULATA,0
XVII,1601,NEGRO,NEGRA,0
XVII,1602,CASTIZO,CASTIZA,0
XVII,1602,CASTIZO,ESPAÑOLA,0
XVII,1602,CASTIZO,FEMENINA SIN CATEG.,0
XVII,1602,CASTIZO,INDIA,0
XVII,1602,CASTIZO,MESTIZA,0
XVII,1602,CASTIZO,MORISCA,0
XVII,1602,CASTIZO,MULATA,0
XVII,1602,CASTIZO,NEGRA,0
XVII,1602,ESPAÑOL,CASTIZA,0
XVII,1602,ESPAÑOL,ESPAÑOLA,0
XVII,1602,ESPAÑOL,FEMENINA SIN CATEG.,0
XVII,1602,ESPAÑOL,INDIA,0
XVII,1602,ESPAÑOL,MESTIZA,0
XVII,1602,ESPAÑOL,MORISCA,0
XVII,1602,ESPAÑOL,MULATA,0
XVII,1602,ESPAÑOL,NEGRA,0
XVII,1602,INDIO,CASTIZA,0
XVII,1602,INDIO,ESPAÑOLA,0
XVII,1602,INDIO,FEMENINA SIN CATEG.,0
XVII,1602,INDIO,INDIA,1
XVII,1602,INDIO,MESTIZA,0
XVII,1602,INDIO,MORISCA,0
XVII,1602,INDIO,MULATA,0
XVII,1602,INDIO,NEGRA,0
XVII,1602,MASCULINO SIN CATEG.,CASTIZA,0
XVII,1602,MASCULINO SIN CATEG.,ESPAÑOLA,0
XVII,1602,MASCULINO SIN CATEG.,FEMENINA SIN CATEG.,2
XVII,1602,MASCULINO SIN CATEG.,INDIA,0
XVII,1602,MASCULINO SIN CATEG.,MESTIZA,0
XVII,1602,MASCULINO SIN CATEG.,MORISCA,0
XVII,1602,MASCULINO SIN CATEG.,MULATA,0
XVII,1602,MASCULINO SIN CATEG.,NEGRA,0
XVII,1602,MESTIZO,CASTIZA,0
XVII,1602,MESTIZO,ESPAÑOLA,0
XVII,1602,MESTIZO,FEMENINA SIN CATEG.,0
XVII,1602,MESTIZO,INDIA,0
XVII,1602,MESTIZO,MESTIZA,0
XVII,1602,MESTIZO,MORISCA,0
XVII,1602,MESTIZO,MULATA,0
XVII,1602,MESTIZO,NEGRA,0
XVII,1602,MORISCO,CASTIZA,0
XVII,1602,MORISCO,ESPAÑOLA,0
XVII,1602,MORISCO,FEMENINA SIN CATEG.,0
XVII,1602,MORISCO,INDIA,0
XVII,1602,MORISCO,MESTIZA,0
XVII,1602,MORISCO,MORISCA,0
XVII,1602,MORISCO,MULATA,0
XVII,1602,MORISCO,NEGRA,0
XVII,1602,MULATO,CASTIZA,0
XVII,1602,MULATO,ESPAÑOLA,0
XVII,1602,MULATO,FEMENINA SIN CATEG.,0
XVII,1602,MULATO,INDIA,0
XVII,1602,MULATO,MESTIZA,0
XVII,1602,MULATO,MORISCA,0
XVII,1602,MULATO,MULATA,0
XVII,1602,MULATO,NEGRA,0
XVII,1602,NEGRO,CASTIZA,0
XVII,1602,NEGRO,ESPAÑOLA,0
XVII,1602,NEGRO,FEMENINA SIN CATEG.,0
XVII,1602,NEGRO,INDIA,0
XVII,1602,NEGRO,MESTIZA,0
XVII,1602,NEGRO,MORISCA,0
XVII,1602,NEGRO,MULATA,0
XVII,1602,NEGRO,NEGRA,0
XVII,1603,CASTIZO,CASTIZA,0
XVII,1603,CASTIZO,ESPAÑOLA,0
XVII,1603,CASTIZO,FEMENINA SIN CATEG.,0
XVII,1603,CASTIZO,INDIA,0
XVII,1603,CASTIZO,MESTIZA,0
XVII,1603,CASTIZO,MORISCA,0
XVII,1603,CASTIZO,MULATA,0
XVII,1603,CASTIZO,NEGRA,0
XVII,1603,ESPAÑOL,CASTIZA,0
XVII,1603,ESPAÑOL,ESPAÑOLA,0
XVII,1603,ESPAÑOL,FEMENINA SIN CATEG.,0
XVII,1603,ESPAÑOL,INDIA,0
XVII,1603,ESPAÑOL,MESTIZA,0
XVII,1603,ESPAÑOL,MORISCA,0
XVII,1603,ESPAÑOL,MULATA,0
XVII,1603,ESPAÑOL,NEGRA,0
XVII,1603,INDIO,CASTIZA,0
XVII,1603,INDIO,ESPAÑOLA,0
XVII,1603,INDIO,FEMENINA SIN CATEG.,0
XVII,1603,INDIO,INDIA,0
XVII,1603,INDIO,MESTIZA,0
XVII,1603,INDIO,MORISCA,0
XVII,1603,INDIO,MULATA,0
XVII,1603,INDIO,NEGRA,0
XVII,1603,MASCULINO SIN CATEG.,CASTIZA,0
XVII,1603,MASCULINO SIN CATEG.,ESPAÑOLA,0
XVII,1603,MASCULINO SIN CATEG.,FEMENINA SIN CATEG.,0
XVII,1603,MASCULINO SIN CATEG.,INDIA,0
XVII,1603,MASCULINO SIN CATEG.,MESTIZA,0
XVII,1603,MASCULINO SIN CATEG.,MORISCA,0
XVII,1603,MASCULINO SIN CATEG.,MULATA,0
XVII,1603,MASCULINO SIN CATEG.,NEGRA,0
XVII,1603,MESTIZO,CASTIZA,0
XVII,1603,MESTIZO,ESPAÑOLA,0
XVII,1603,MESTIZO,FEMENINA SIN CATEG.,0
XVII,1603,MESTIZO,INDIA,0
XVII,1603,MESTIZO,MESTIZA,0
XVII,1603,MESTIZO,MORISCA,0
XVII,1603,MESTIZO,MULATA,0
XVII,1603,MESTIZO,NEGRA,0
XVII,1603,MORISCO,CASTIZA,0
XVII,1603,MORISCO,ESPAÑOLA,0
XVII,1603,MORISCO,FEMENINA SIN CATEG.,0
XVII,1603,MORISCO,INDIA,0
XVII,1603,MORISCO,MESTIZA,0
XVII,1603,MORISCO,MORISCA,0
XVII,1603,MORISCO,MULATA,0
XVII,1603,MORISCO,NEGRA,0
XVII,1603,MULATO,CASTIZA,0
XVII,1603,MULATO,ESPAÑOLA,0
XVII,1603,MULATO,FEMENINA SIN CATEG.,0
XVII,1603,MULATO,INDIA,0
XVII,1603,MULATO,MESTIZA,0
XVII,1603,MULATO,MORISCA,0
XVII,1603,MULATO,MULATA,0
XVII,1603,MULATO,NEGRA,0
XVII,1603,NEGRO,CASTIZA,0
XVII,1603,NEGRO,ESPAÑOLA,0
XVII,1603,NEGRO,FEMENINA SIN CATEG.,0
XVII,1603,NEGRO,INDIA,0
XVII,1603,NEGRO,MESTIZA,0
XVII,1603,NEGRO,MORISCA,0
XVII,1603,NEGRO,MULATA,0
XVII,1603,NEGRO,NEGRA,0
XVII,1604,CASTIZO,CASTIZA,0
XVII,1604,CASTIZO,ESPAÑOLA,0
XVII,1604,CASTIZO,FEMENINA SIN CATEG.,0
XVII,1604,CASTIZO,INDIA,0
XVII,1604,CASTIZO,MESTIZA,0
XVII,1604,CASTIZO,MORISCA,0
XVII,1604,CASTIZO,MULATA,0
XVII,1604,CASTIZO,NEGRA,0
XVII,1604,ESPAÑOL,CASTIZA,0
XVII,1604,ESPAÑOL,ESPAÑOLA,0
XVII,1604,ESPAÑOL,FEMENINA SIN CATEG.,0
XVII,1604,ESPAÑOL,INDIA,0
XVII,1604,ESPAÑOL,MESTIZA,0
XVII,1604,ESPAÑOL,MORISCA,0
XVII,1604,ESPAÑOL,MULATA,0
XVII,1604,ESPAÑOL,NEGRA,0
XVII,1604,INDIO,CASTIZA,0
XVII,1604,INDIO,ESPAÑOLA,0
XVII,1604,INDIO,FEMENINA SIN CATEG.,0
XVII,1604,INDIO,INDIA,0
XVII,1604,INDIO,MESTIZA,0
XVII,1604,INDIO,MORISCA,0
XVII,1604,INDIO,MULATA,0
XVII,1604,INDIO,NEGRA,0
XVII,1604,MASCULINO SIN CATEG.,CASTIZA,0
XVII,1604,MASCULINO SIN CATEG.,ESPAÑOLA,0
XVII,1604,MASCULINO SIN CATEG.,FEMENINA SIN CATEG.,0
XVII,1604,MASCULINO SIN CATEG.,INDIA,0
XVII,1604,MASCULINO SIN CATEG.,MESTIZA,0
XVII,1604,MASCULINO SIN CATEG.,MORISCA,0
XVII,1604,MASCULINO SIN CATEG.,MULATA,0
XVII,1604,MASCULINO SIN CATEG.,NEGRA,0
XVII,1604,MESTIZO,CASTIZA,0
XVII,1604,MESTIZO,ESPAÑOLA,0
XVII,1604,MESTIZO,FEMENINA SIN CATEG.,0
XVII,1604,MESTIZO,INDIA,0
XVII,1604,MESTIZO,MESTIZA,0
XVII,1604,MESTIZO,MORISCA,0
XVII,1604,MESTIZO,MULATA,0
XVII,1604,MESTIZO,NEGRA,0
XVII,1604,MORISCO,CASTIZA,0
XVII,1604,MORISCO,ESPAÑOLA,0
XVII,1604,MORISCO,FEMENINA SIN CATEG.,0
XVII,1604,MORISCO,INDIA,0
XVII,1604,MORISCO,MESTIZA,0
XVII,1604,MORISCO,MORISCA,0
XVII,1604,MORISCO,MULATA,0
XVII,1604,MORISCO,NEGRA,0
XVII,1604,MULATO,CASTIZA,0
XVII,1604,MULATO,ESPAÑOLA,0
XVII,1604,MULATO,FEMENINA SIN CATEG.,0
XVII,1604,MULATO,INDIA,0
XVII,1604,MULATO,MESTIZA,0
XVII,1604,MULATO,MORISCA,0
XVII,1604,MULATO,MULATA,0
XVII,1604,MULATO,NEGRA,0
XVII,1604,NEGRO,CASTIZA,0
XVII,1604,NEGRO,ESPAÑOLA,0
XVII,1604,NEGRO,FEMENINA SIN CATEG.,0
XVII,1604,NEGRO,INDIA,0
XVII,1604,NEGRO,MESTIZA,0
XVII,1604,NEGRO,MORISCA,0
XVII,1604,NEGRO,MULATA,0
XVII,1604,NEGRO,NEGRA,0
XVII,1605,CASTIZO,CASTIZA,0
XVII,1605,CASTIZO,ESPAÑOLA,0
